name,sex,total
סוזאן,F,2648
ודים,M,2643
יהל,F,2642
תקוה,F,2623
אודיה,F,2617
ליודמילה,F,2617
עידית,F,2610
יאסין,M,2589
יוסרא,F,2588
גנאדי,M,2586
עולא,F,2586
זייד,M,2582
מישל,M,2582
יאן,M,2573
ג'יהאד,M,2567
נסים,M,2564
יאסר,M,2556
אלישע,M,2555
ורד,M,2552
ויטלי,M,2546
אלי,F,2544
חנוך,M,2541
הישאם,M,2541
אמינה,F,2538
כוכבה,F,2537
שרי,F,2524
נאדר,M,2520
היאם,F,2519
רהאם,F,2517
עמנואל,F,2513
בלומה,F,2503
מילא,F,2499
ארבל,M,2497
נרמין,F,2494
דלאל,F,2494
יאמן,M,2488
יוגב,M,2479
מוריס,M,2478
סיף,M,2476
היית'ם,M,2473
בשאר,M,2472
לני,F,2470
אלדד,M,2469
סואר,F,2468
דוניא,F,2467
לירוי,M,2463
דולב,M,2462
מילה,F,2454
סוניה,F,2454
יונס,M,2453
רואה,F,2447
ניסן,M,2445
יונה,F,2438
למאר,F,2438
תמי,F,2436
ענאן,M,2435
ליליה,F,2434
סתיו,M,2434
טום,M,2428
ריאד,M,2425
קובי,M,2420
ולרי,M,2417
דינא,F,2415
יונה,M,2414
רולא,F,2402
רני,M,2400
ערין,F,2397
דורין,F,2396
הדר,M,2390
אבתיסאם,F,2379
אליזבט,F,2375
רפי,M,2370
רימאס,F,2368
סירין,F,2365
בהאא,M,2357
שניר,M,2355
סוהא,F,2354
איוב,M,2347
ליב,F,2345
אופק,F,2344
אלן,M,2339
פריאל,F,2332
סגלית,F,2325
סמא,F,2315
גידאא,F,2310
מאג'ד,M,2305
רעיה,F,2302
אמיליה,F,2300
קורן,M,2295
עפרה,F,2289
עדיאל,M,2287
סלמא,F,2287
גבריאלה,F,2286
אנדריי,M,2286
אלנה,F,2285
גולדה,F,2279
רז,F,2261
עמיר,M,2256
שיינא,F,2252
נידאל,M,2252
עמראן,M,2247
אנסטסיה,F,2246
סול,F,2236
נטע,M,2234
ליבא,F,2233
אחיה,M,2230
ליזה,F,2226
עאידה,F,2215
אנוור,F,2213
ציונה,F,2211
צילה,F,2210
עופרה,F,2209
ברוריה,F,2206
גרשון,M,2203
ירדנה,F,2203
שוהם,M,2196
פידא,F,2194
עפאף,F,2189
אכרם,M,2189
אסלאם,F,2188
סאלי,F,2182
אושרית,F,2182
ראיסה,F,2177
רני,F,2176
רון,F,2176
לבנה,F,2176
ישעיהו,M,2172
עטרה,F,2171
חי,M,2163
יריב,M,2157
בצלאל,M,2153
תולין,F,2150
אלכס,M,2141
יעלה,F,2141
ריי,M,2131
אמיל,M,2128
אחינועם,F,2128
חדיגה,F,2126
הינדא,F,2123
אריג',F,2119
קלרה,F,2118
קייס,M,2105
משי,F,2105
סטניסלב,M,2101
אביבית,F,2094
ויאצ'סלב,M,2089
אסיה,F,2085
יהל,M,2080
ולדיסלב,M,2075
עאטף,M,2069
חנניה,M,2067
עז,M,2066
עוזי,M,2061
גיל,F,2055
חני,F,2050
רנה,F,2049
צליל,F,2044
אדר,F,2044
סונדוס,F,2043
אבינועם,M,2042
לידיה,F,2042
אושר,F,2040
אדר,M,2039
סאמיה,F,2033
דניס,M,2031
האדי,M,2027
תאלין,F,2027
ים,M,2019
ג'ורג',M,2018
רחמה,F,2017
סלאם,F,2015
אבירם,M,2009
נלי,F,2008
הלן,F,2008
ניצה,F,2003
יפים,M,2002
דקלה,F,1998
ניב,F,1993
אנוור,M,1981
עופרי,M,1970
אלהאם,F,1970
נירית,F,1969
ליובוב,F,1962
נאיף,M,1960
מינה,F,1957
נעים,M,1952
סנדרה,F,1946
עמי,M,1942
נח,M,1939
דלית,F,1934
חביב,M,1930
מיתר,F,1930
לובנה,F,1929
הניה,F,1924
רובה,F,1918
יוני,M,1917
צור,M,1911
שמס,F,1909
טוביה,M,1906
לאון,M,1904
ימית,F,1895
ארתור,M,1894
שגית,F,1889
מג'די,M,1888
פליקס,M,1888
עוביידה,M,1886
האלה,F,1884
דיקלה,F,1883
ענהאל,F,1876
פאיז,M,1876
יעקוב,M,1866
קמר,F,1857
נוהא,F,1856
אילין,F,1851
ששון,M,1849
מאור,F,1838
רגינה,F,1836
לירי,F,1833
ניזאר,M,1831
פאינה,F,1824
סילא,F,1821
אבשלום,M,1820
שריף,M,1810
יהב,F,1804
דאוד,M,1797
עברי,M,1796
רפיף,F,1794
ריקי,F,1789
רוז,F,1786
מייסון,F,1776
ג'אד,M,1774
ג'מילה,F,1773
מירית,F,1767
נימר,M,1766
אלמא,F,1760
ורה,F,1756
הילל,M,1755
זכריא,M,1754
פריד,M,1751
גדיר,F,1750
קונסטנטין,M,1750
ניל,M,1741
סהר,F,1736
ליית,M,1729
אנטון,M,1726
גדי,M,1725
פני,F,1722
חמד,M,1707
סופי,F,1706
ים,F,1699
אנדרי,M,1687
תמאם,F,1684
ליאון,M,1683
תגריד,F,1682
תיים,M,1675
אסעד,M,1672
מרח,F,1672
ארנון,M,1671
סלומון,M,1670
ודיע,M,1668
דנית,F,1664
פתחיה,F,1660
אליסה,F,1658
היא,F,1655
אמרי,M,1651
ישעיה,M,1646
שחף,M,1646
גפן,M,1642
איציק,M,1638
מאירה,F,1637
כרמל,M,1636
אליענה,F,1630
רמזי,M,1625
סמי,M,1624
ולריה,F,1624
איימי,F,1623
מואמן,M,1623
שדא,F,1622
ראמא,F,1615
לינור,F,1615
ורוניקה,F,1615
עתי,M,1613
פיליפ,M,1613
מורן,M,1612
דותן,M,1610
יששכר,M,1609
שגב,M,1605
ליאה,F,1601
דקל,M,1599
ריאן,F,1598
נחמיה,M,1597
לורין,F,1596
גמילה,F,1595
שחף,F,1592
יונית,F,1588
תפארת,F,1587
בושרא,F,1578
קים,F,1577
עות'מאן,M,1573
חאתם,M,1572
לני,M,1568
דגנית,F,1567
דארין,F,1564
זהרה,F,1563
אסלאם,M,1559
לוטם,F,1548
ניבין,F,1542
כנרת,F,1540
אלדר,M,1538
סימונה,F,1535
שיינדל,F,1534
אמי,F,1533
שבתאי,M,1531
דאניה,F,1527
בכר,M,1517
רימה,F,1515
איטה,F,1513
שורוק,F,1513
ריף,F,1512
סלאמה,M,1512
נירה,F,1511
זואי,F,1510
קטי,F,1498
רייזל,F,1498
קורין,F,1495
סימי,F,1495
מייקל,M,1493
ויויאן,F,1491
ג'לאל,M,1488
ליאנה,F,1481
אידה,F,1475
מרסל,F,1474
שאדיה,F,1473
הנאדי,F,1473
פאתן,F,1472
קרינה,F,1469
גורי,F,1467
סטלה,F,1467
פתחי,M,1461
מתתיהו,M,1457
ליבנת,F,1457
בילא,F,1455
אראל,M,1454
לארא,F,1450
סוהיר,F,1448
שגיב,M,1447
נאיא,F,1437
גסאן,M,1434
